EQUIPMENT_ID,EQUIPMENT_NAME,REINFORCE_LEVEL,EQUIPMENT_GRADE,EQUIPMENT_TYPE,BASE_STAT,BASE_STAT_VALUE,EQ_EXPLAIN,EQ_IMAGE_FILE_NAME,REINFORCE_FEE
Ashoes,초경량 청소화,0,4,4,4,30,깃털처럼 가벼워 청소 속도를 한층 높여주는 신발,Ashoes,35000
Ashoes1,+1 초경량 청소화,1,4,4,4,45,깃털처럼 가벼워 청소 속도를 한층 높여주는 신발,Ashoes,39000
Ashoes2,+2 초경량 청소화,2,4,4,4,60,깃털처럼 가벼워 청소 속도를 한층 높여주는 신발,Ashoes,43000
Ashoes3,+3 초경량 청소화,3,4,4,4,75,깃털처럼 가벼워 청소 속도를 한층 높여주는 신발,Ashoes,47000
Ashoes4,+4 초경량 청소화,4,4,4,4,90,깃털처럼 가벼워 청소 속도를 한층 높여주는 신발,Ashoes,51000
Ashoes5,+5 초경량 청소화,5,4,4,4,105,깃털처럼 가벼워 청소 속도를 한층 높여주는 신발,Ashoes,0
Sweapon,황금 빗자루,0,5,1,1,50,"청소인들의 꿈, 모든 걸 반짝이게 만드는 전설의 빗자루",Sweapon,55000
Sweapon1,+1 황금 빗자루,1,5,1,1,80,"청소인들의 꿈, 모든 걸 반짝이게 만드는 전설의 빗자루",Sweapon,60000
Sweapon2,+2 황금 빗자루,2,5,1,1,110,"청소인들의 꿈, 모든 걸 반짝이게 만드는 전설의 빗자루",Sweapon,65000
Sweapon3,+3 황금 빗자루,3,5,1,1,140,"청소인들의 꿈, 모든 걸 반짝이게 만드는 전설의 빗자루",Sweapon,70000
Sweapon4,+4 황금 빗자루,4,5,1,1,170,"청소인들의 꿈, 모든 걸 반짝이게 만드는 전설의 빗자루",Sweapon,75000
Sweapon5,+5 황금 빗자루,5,5,1,1,200,"청소인들의 꿈, 모든 걸 반짝이게 만드는 전설의 빗자루",Sweapon,0
Sshirts,자동살균 스마트 청소복,0,5,2,2,500,"입기만 해도 세균 제로, 청소 기술의 미래형 장비",Sshirts,55000
Sshirts1,+1 자동살균 스마트 청소복,1,5,2,2,800,"입기만 해도 세균 제로, 청소 기술의 미래형 장비",Sshirts,60000
Sshirts2,+2 자동살균 스마트 청소복,2,5,2,2,1100,"입기만 해도 세균 제로, 청소 기술의 미래형 장비",Sshirts,65000
Sshirts3,+3 자동살균 스마트 청소복,3,5,2,2,1400,"입기만 해도 세균 제로, 청소 기술의 미래형 장비",Sshirts,70000
Sshirts4,+4 자동살균 스마트 청소복,4,5,2,2,1700,"입기만 해도 세균 제로, 청소 기술의 미래형 장비",Sshirts,75000
Sshirts5,+5 자동살균 스마트 청소복,5,5,2,2,2000,"입기만 해도 세균 제로, 청소 기술의 미래형 장비",Sshirts,0
Spants,청정 에너지 바지,0,5,3,3,40,걸을 때마다 깨끗한 에너지가 솟아나는 친환경 바지,Spants,55000
Spants1,+1 청정 에너지 바지,1,5,3,3,64,걸을 때마다 깨끗한 에너지가 솟아나는 친환경 바지,Spants,60000
Spants2,+2 청정 에너지 바지,2,5,3,3,88,걸을 때마다 깨끗한 에너지가 솟아나는 친환경 바지,Spants,65000
Spants3,+3 청정 에너지 바지,3,5,3,3,112,걸을 때마다 깨끗한 에너지가 솟아나는 친환경 바지,Spants,70000
Spants4,+4 청정 에너지 바지,4,5,3,3,136,걸을 때마다 깨끗한 에너지가 솟아나는 친환경 바지,Spants,75000
Spants5,+5 청정 에너지 바지,5,5,3,3,160,걸을 때마다 깨끗한 에너지가 솟아나는 친환경 바지,Spants,0
Sshoes,공중부양 청소 부츠,0,5,4,4,40,공중에서 둥둥 떠다니며 먼지까지 싹 흡수하는 마법 신발,Sshoes,55000
Sshoes1,+1 공중부양 청소 부츠,1,5,4,4,64,공중에서 둥둥 떠다니며 먼지까지 싹 흡수하는 마법 신발,Sshoes,60000
Sshoes2,+2 공중부양 청소 부츠,2,5,4,4,88,공중에서 둥둥 떠다니며 먼지까지 싹 흡수하는 마법 신발,Sshoes,65000
Sshoes3,+3 공중부양 청소 부츠,3,5,4,4,112,공중에서 둥둥 떠다니며 먼지까지 싹 흡수하는 마법 신발,Sshoes,70000
Sshoes4,+4 공중부양 청소 부츠,4,5,4,4,136,공중에서 둥둥 떠다니며 먼지까지 싹 흡수하는 마법 신발,Sshoes,75000
Sshoes5,+5 공중부양 청소 부츠,5,5,4,4,160,공중에서 둥둥 떠다니며 먼지까지 싹 흡수하는 마법 신발,Sshoes,0
